CUSTOMER_ACCOUNT,ACCOUNT,Open Positions,Total Profiles shared,Profiles shared in last week,Screening Pending,Interview/Feedback Pending,Customer Interview Pending,OIP,Pending Joiner," PJ's 
Feb'21","PJ's 
Mar'21",Screen Reject,Tech Reject,Total,Joined
MyH,H-R,3,59,10,4,4,0,1,0,0,0,16,18,43,0
MyH,H-M,5,26,10,3,2,0,2,0,0,0,7,3,17,1
MYF,F1,2,28,,0,8,0,0,0,0,0,14,4,26,0
MYF,F2,2,31,3,3,1,0,0,0,0,0,19,6,26,0
MYF,F3,1,4,1,1,0,0,0,0,0,0,2,1,4,0
